survey,row_id,col,text,model_sentiment,model_topic,true_sentiment,true_topic
canteen,824,18,"Чай, компотта хлор көп , қыстың күні компоттары қатты суық .",neu,water,,
dms,838,21,Удалить по больше внимания стоматологи,neu,limits,,
canteen,998,18,Ас мәзірін өзгерту керек,neu,other,,
canteen,1273,18,"Очередь большая,были моменты когда находили таракана и сүзу.",neu,hygiene,,
transport,844,15,Огромное спасибо!,pos,general,,
dms,86,21,Мед орталықты өзгертсеңіздер.Стоматологияға көп қаржы бөлінсе дұрыс болар еді,neu,drugs,,
canteen,296,18,Бірінші тамақ еш өзгермейді,neg,portions,,
canteen,786,18,асханага бармаймын жабуды колдаймын,neg,other,,
transport,239,15,комфортно,pos,general,,
canteen,318,18,Ас мәзірін әр түрлі қылу,neu,other,,
dms,1401,21,Моя страховка покрыта лора и пульманолога а за остальное сказали доплачивать почему ?,neg,clinics,,
canteen,184,18,Жок. Биринши тамак дурыс емес.озгерисиз.кунде Бир тамак,pos,portions,,
transport,308,15,Все отлично,pos,general,,
canteen,1244,18,"Приправасы көп,шай мен компоттың хлоры көп",neg,water,,
canteen,1149,18,Вообще нет разнообразии,neu,other,,
transport,747,15,Пунктуальность аккуратность ответственность,neu,other,,
canteen,793,18,Очень довольны питанием,pos,taste,,
canteen,870,18,"Спасибо очень вкусно, бывает конечно ноо редко, обслуживание очень хорошее приветливые.",pos,general,,
canteen,1134,18,Кармите лучше,neg,general,,
canteen,443,18,Каждый раз одно тоже кормить макорон рис,neu,portions,,
transport,511,15,9  маршрут  отлично  .,neu,routes,,
canteen,1192,18,Порси побольшебы,neu,portions,,
transport,512,15,Всё терпимо,pos,general,,
transport,741,15,Незнааю,neu,other,,
transport,709,15,Бурундайга керек мен минбим ваще,neu,general,,
transport,579,15,Повысить вежливое отношение водителей.,pos,drivers,,
canteen,1355,18,"Готовить на хорошей воде, без хлорки",pos,water,,
canteen,949,18,Улучшить меню,pos,menu,,
transport,786,15,Свой транспорт,neg,capacity,,
canteen,1046,18,Бәрі жақсы,pos,general,,
canteen,1163,18,После 13.00 нечего не остаётся из еды,neg,portions,,
canteen,613,18,Нормально,pos,general,,
canteen,1282,18,"Не вкусно, не пользуюсь столовой 2-3 месяца",neu,portions,,
transport,547,15,Все хорошо,pos,general,,
transport,837,15,Өте жақсы,pos,general,,
canteen,1072,18,Поменять меню Улучшить качество,neu,menu,,
transport,341,15,Өз көлік пен жүрем,neu,drivers,,
transport,372,15,Остановку на СВХ,neu,pickup,,
canteen,100,18,Хорошое питание 🙏,pos,taste,,
canteen,1352,18,"Изжога после еды, вода сильно хлорированная",neg,water,,
transport,516,15,Жиналу орны аэропорттың авто тұрағында болса жақсы болар еді,neu,pickup,,
canteen,884,18,"Меню повторяется постоянно, еды не хватает, не чистоплотно, жирно , безвкусно!",neg,health,,
transport,360,15,Обеспечьте водителей автобусов нормальным местом стоянки в аэропорту.,neu,capacity,,
transport,70,15,Все отлично 🙏,pos,general,,
canteen,1337,18,Недостачно горячий воды,neg,water,,
canteen,1213,18,Надо несколько меню добавить,neg,menu,,
transport,890,15,Хорошо,pos,general,,
dms,749,21,лрдлолд,pos,other,,
canteen,1165,18,После обеда изжога появляется,pos,portions,,
transport,849,15,Вечером очень поздно приедет,neu,schedule,,
